LISTING_NEIGHBOURHOOD,MONTH_YEAR,TOTAL_LISTINGS,ACTIVE_LISTINGS_RATE,TRUE_MIN_PRICE_ACTIVE_LISTINGS,TRUE_MAX_PRICE_ACTIVE_LISTINGS,TRUE_AVG_PRICE_ACTIVE_LISTINGS,TRUE_MEDIAN_PRICE_ACTIVE_LISTINGS,TOTAL_DISTINCT_HOSTS,TOTAL_SUPERHOST_COUNT,TRUE_AVG_REVIEW_SCORE_RATING,PERCENTAGE_CHANGE_ACTIVE,PERCENTAGE_CHANGE_INACTIVE,TOTAL_NUMBER_OF_STAYS,AVG_REV
bayside,01_2021,1502,100.000000,15,2904,419.290763,145.000,1128,154,89.909348,,,31143,2631.884820
bayside,02_2021,1483,99.730276,15,2904,388.095332,145.000,1111,153,89.828643,-2%,,28791,2419.035064
bayside,03_2021,1451,99.655410,15,2904,486.058719,159.000,1106,151,89.056578,-2%,25%,29291,2712.603722
bayside,04_2021,1436,99.164345,15,2904,358.363118,145.000,1087,145,90.018891,-2%,140%,28947,2590.562674
bayside,05_2020,1616,100.000000,0,15367,639.765129,139.000,1220,180,89.706696,13%,-100%,30899,2461.658416
bayside,06_2020,1586,100.000000,0,14478,632.670201,129.000,1201,176,89.966045,-2%,,30393,2498.889029
bayside,07_2020,1551,100.000000,0,14376,697.294938,135.000,1171,169,89.653061,-2%,,30624,2462.005803
bayside,08_2020,1380,100.000000,17,2904,126.517830,96.000,1051,157,90.007348,-11%,,24945,1916.742029
bayside,09_2020,1540,100.000000,17,2904,132.902955,115.000,1157,165,89.913296,12%,,28798,1961.669481
bayside,10_2020,1513,100.000000,17,2904,122.029050,110.000,1141,161,90.154095,-2%,,30281,2103.468605
bayside,11_2020,1477,100.000000,14,2904,132.713657,116.000,1115,160,89.932434,-2%,,27938,2083.918077
bayside,12_2020,1493,100.000000,15,2904,138.402217,120.000,1128,156,90.506966,1%,,31826,2486.866711
blacktown,01_2021,285,100.000000,22,2228,726.820875,80.000,213,37,91.206368,,,4095,1718.115789
blacktown,02_2021,276,99.637681,22,2000,113.256775,94.500,216,37,91.673599,-4%,,3299,1078.456522
blacktown,03_2021,273,98.168498,22,2000,141.387471,100.000,216,39,93.012322,-3%,400%,3457,1209.761905
blacktown,04_2021,275,96.000000,22,2000,139.523733,113.000,218,40,92.513094,-1%,120%,3540,1269.745455
blacktown,05_2020,318,100.000000,23,1099,88.312780,60.000,239,40,88.675926,20%,-100%,3628,1037.927673
blacktown,06_2020,307,100.000000,23,1099,77.435243,59.000,234,42,90.751432,-3%,,3816,1109.097720
blacktown,07_2020,301,100.000000,23,2164,694.710391,79.000,230,40,91.483982,-2%,,4365,1376.843854
blacktown,08_2020,282,100.000000,20,2000,78.046564,59.000,216,36,91.280398,-6%,,3318,1228.808511
blacktown,09_2020,289,100.000000,20,2000,76.613772,59.000,220,36,91.580333,2%,,3614,1179.377163
blacktown,10_2020,281,100.000000,18,2000,82.630965,65.000,216,35,91.947753,-3%,,4098,1673.427046
blacktown,11_2020,285,100.000000,18,2000,80.073139,59.000,221,35,91.715135,1%,,3409,1227.364912
blacktown,12_2020,285,99.649123,22,2000,80.414760,59.000,217,37,91.362966,0%,,4423,1670.414035
burwood,01_2021,251,100.000000,16,530,86.235681,39.000,149,20,88.245824,,,4641,1636.167331
burwood,02_2021,230,100.000000,16,530,80.577759,39.000,145,19,89.236438,-8%,,3999,1451.769565
burwood,03_2021,221,100.000000,16,530,84.164182,50.000,143,19,88.976224,-4%,,4248,1693.434389
burwood,04_2021,228,100.000000,16,530,101.072733,106.000,151,22,86.876325,3%,,4036,1651.605263
